datasetNum,priority,datasetName,dataRefuge,dataGov,edg.epa.gov,webArchiveLink,datasetSource,accurateSource,sourceUpdate,fileSize_downloadableData
54,,National Emissions Inventory (NEI) | Air Emissions Inventories | US EPA,https://www.datarefuge.org/dataset/national-emissions-inventory-nei-air-emissions-inventories-us-epa,https://catalog.data.gov/dataset/national-emission-inventory-78f98; https://catalog.data.gov/dataset/national-emission-inventory,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B1F3A34AC-1EA3-4E93-95EC-375E559C31A7%7D,https://web.archive.org/web/*/https://epa.gov/air-emissions-inventories/national-emissions-inventory-nei,https://epa.gov/air-emissions-inventories/national-emissions-inventory-nei,Y,,
55,,Envirofacts,https://www.datarefuge.org/dataset/envirofacts,,,https://web.archive.org/web/*/https://www.epa.gov/enviro/system-data-searches,https://www.epa.gov/enviro/system-data-searches,,,
56,,Computational Toxicology Online Resources,https://www.datarefuge.org/dataset/computational-toxicology-online-resources,,,N/A,https://actor.epa.gov/actor/home.xhtml,Y,,
57,,Envirofacts KML,https://www.datarefuge.org/dataset/envirofacts-kml,,,N/A,https://www.epa.gov/enviro/epa-regional-kml-download,N,,
58,,Envirofacts CSV,https://www.datarefuge.org/dataset/envirofacts-csv,,,N/A,https://www.epa.gov/enviro/epa-state-combined-csv-download-files,Y,,
59,,Geospatial Data Download Service,https://www.datarefuge.org/dataset/geospatial-data-download-service,https://catalog.data.gov/dataset/u-s-epas-geospatial-data-access-project96ece,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7BB621E395-213A-4A95-BE12-B8B4B97A803A%7D,N/A,https://www.epa.gov/enviro/geospatial-data-download-service,Y,,C6518768-401F-4DAF-A6EB-B4E612ED5D69.zip - 584 MB;
60,,Aggregated Computational Toxicology Online Resource (ACToR),https://www.datarefuge.org/dataset/aggregated-computational-toxicology-online-resource-actor,,,N/A,https://actor.epa.gov/actor/home.xhtml,Y,,
61,,EPA Data Download,https://www.datarefuge.org/dataset/epa-data-download,,,N/A,http://gis.epa.ie/GetData/Download,Y,,
62,,ECHO Facility Search Results,https://www.datarefuge.org/dataset/echo-facility-search-results,,,N/A,https://echo.epa.gov/facilities/facility-search/results,Y,,
63,,Toxics Release Inventory (TRI) Program Share,https://www.datarefuge.org/dataset/toxics-release-inventory-tri-program-share,,,N/A,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-plus-data-files-calendar-years-1987-2015,Y,,
64,,EPA Superfund Data and Reports,https://www.datarefuge.org/dataset/epa-superfund-data-and-reports,,,N/A,https://www.epa.gov/superfund/superfund-data-and-reports,Y,,
65,,EPA Data Commons,https://www.datarefuge.org/dataset/epa-data-commons,,,N/A,ftp://newftp.epa.gov/EPADataCommons/,Y,,
66,,Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units,https://www.datarefuge.org/dataset/standards-of-performance-for-greenhouse-gas-emissions-from-existing-sources,somewhat related [National Greenhouse Gas Emission Inventory] https://catalog.data.gov/dataset/national-greenhouse-gas-emission-inventory; [and dup?] https://catalog.data.gov/dataset/national-greenhouse-gas-emission-inventory-ev-ghg,,N/A,https://www.regulations.gov/docketBrowser?rpp=50&po=0&dct=SR&D=EPA-HQ-OAR-2013-0602,Y,,
